AVERAGE_GAP_EN9,V_G
531.2307006112377,6.020574214422978
513.7885340521708,3.016546741461911
512.6352596242909,4.433097591452043
510.99144954572705,6.509127634948291
508.3840766726732,3.8179105162789932
505.68166965535966,5.539680157270806
505.22913963075854,5.538062501321176
503.3810576938334,6.838979794483368
489.91975259602435,5.773352406204484
481.9937749831613,2.3961025374336553
471.0971356047286,7.916020095156797
468.5200253404997,4.032049831450883
462.865740075236,7.71978841962284
449.8960913656669,4.015162744884688
449.1692701489321,9.146863750762849
445.3017405742443,7.950899649796565
444.27359908765305,2.6968580702707436
439.463390260717,3.63731266111141
438.1430376784508,2.0780888445370955
433.0237109313538,5.3982736880231705
420.4038113247475,5.02639383154775
404.77470177658773,8.190974236124125
396.9366630067421,5.825029385338584
374.29831688082174,6.685562136998499
369.74454373563145,8.96510852494011
367.781346437478,5.800256921126354
365.47651911540254,2.6760026404276767
365.26329397118565,3.920897542116046
357.4645009013835,2.462884882523074
352.25027480946903,6.407896152565785
325.93061393136884,5.336963341332104
323.0954709749867,6.183182870780457
319.7999687195547,7.588252020475134
313.2431538565885,10.000713248988847
311.5169755105716,2.5424307002146445
307.1471564490458,9.811818878848658
304.3789979041828,6.997419680432001
299.78286246038067,10.278183957724458
290.94414023627564,3.8782481381101683
282.45031730607576,8.52949983754904
282.0101425000183,4.528452566136372
277.44186093448025,13.392161057927328
274.07468188352044,12.273490858031662
270.0620775344946,12.480402669879012
267.0360828765913,5.393028352175511
